date,game_time,event_id,competition_id,provider_id,provider_name,home_team,away_team,home_abbr,away_abbr,home_moneyline,away_moneyline,home_price_basis,away_price_basis,home_run_line,away_run_line,total_line,over_odds,under_odds,odds_items_count
2025-03-27,19:00,401694911,401694911,58,ESPN BET,New York Yankees,Milwaukee Brewers,NYY,MIL,-150.0,125.0,close,close,0.0,1.5,7.5,-125.0,105.0,2
2025-03-27,19:07,401694909,401694909,58,ESPN BET,Toronto Blue Jays,Baltimore Orioles,TOR,BAL,-115.0,-105.0,close,close,0.0,-1.5,8.5,-105.0,-115.0,2
2025-03-27,20:05,401694912,401694912,58,ESPN BET,Washington Nationals,Philadelphia Phillies,WSH,PHI,135.0,-160.0,close,close,0.0,-1.5,7.5,100.0,-120.0,2
2025-03-27,20:05,401694916,401694916,58,ESPN BET,Texas Rangers,Boston Red Sox,TEX,BOS,105.0,-125.0,close,close,0.0,-1.5,8.5,100.0,-120.0,2
2025-03-27,20:10,401694913,401694913,58,ESPN BET,Miami Marlins,Pittsburgh Pirates,MIA,PIT,125.0,-150.0,close,close,0.0,-1.5,6.5,-115.0,-105.0,2
2025-03-27,20:10,401694914,401694914,58,ESPN BET,Cincinnati Reds,San Francisco Giants,CIN,SF,-110.0,-110.0,close,close,0.0,-1.5,7.5,-115.0,-105.0,2
2025-03-27,20:10,401694915,401694915,58,ESPN BET,Chicago White Sox,Los Angeles Angels,CHW,LAA,140.0,-165.0,close,close,0.0,-1.5,7.5,-115.0,-105.0,2
2025-03-27,20:10,401694917,401694917,58,ESPN BET,Kansas City Royals,Cleveland Guardians,KC,CLE,-175.0,145.0,close,close,0.0,1.5,8.5,-115.0,-105.0,2
2025-03-27,20:10,401694919,401694919,58,ESPN BET,Houston Astros,New York Mets,HOU,NYM,-120.0,100.0,close,close,0.0,-1.5,7.5,-115.0,-105.0,2
2025-03-27,20:10,401694920,401694920,58,ESPN BET,San Diego Padres,Atlanta Braves,SD,ATL,100.0,-120.0,close,close,0.0,-1.5,6.5,-125.0,105.0,2
