date,game_time,season,team,team_abbr,opponent,opp_abbr,location,is_home,team_score,opp_score,moneyline,run_line,total_line,venue_name,venue_city,venue_state,venue_indoor,starting_pitcher,sp_espn_id,sp_era,opp_starting_pitcher,opp_sp_espn_id,opp_sp_era,team_hits,team_errors,team_runs,opp_hits,opp_errors,opp_runs,sp_ip,sp_er,sp_h,sp_bb,sp_k,sp_throws_left,bullpen_era,temperature,wind_speed,rest_days,margin,runs_per_game,runs_allowed,hits_per_game,season_runs_per_game,roll5_runs_per_game,roll10_runs_per_game,season_runs_allowed,roll5_runs_allowed,roll10_runs_allowed,season_margin,roll5_margin,roll10_margin,season_hits_per_game,roll5_hits_per_game,roll10_hits_per_game,season_pyth_wpct,roll10_pyth_wpct,prev_season_runs_per_game,prev_roll5_runs_per_game,prev_roll10_runs_per_game,prev_season_runs_allowed,prev_roll5_runs_allowed,prev_roll10_runs_allowed,prev_season_margin,prev_roll5_margin,prev_roll10_margin,prev_season_hits_per_game,prev_roll5_hits_per_game,prev_roll10_hits_per_game,prev_season_pyth_wpct,prev_roll10_pyth_wpct,games_played,prev_games_played,game_win,season_wins,win_pct,prev_win_pct,roll10_win_pct,prev_roll10_win_pct,roll10_score_std,prev_volatility,sp_roll_era,sp_roll_whip,sp_roll_k9,sp_roll_ip,park_factor,opp_win_pct,opp_prev_roll10_rpg,opp_prev_roll10_ra,opp_prev_season_rpg,opp_prev_season_ra,opp_prev_roll10_win_pct,opp_prev_roll5_rpg,opp_prev_roll5_ra,opp_prev_season_pyth_wpct,opp_bullpen_era,opp_sp_roll_era,opp_sp_roll_whip,opp_sp_roll_k9,opp_sp_roll_ip,opp_sp_throws_left,roll10_rpg_diff,roll10_ra_diff,sp_era_diff,sp_roll_era_diff,pyth_wpct_diff,roll5_rpg_diff,roll5_ra_diff,bullpen_era_diff,home_win
2025-07-15,00:00,2025,American All-Stars,AL,National All-Stars,NL,Away,0,6,6,,,,Truist Park,Atlanta,Georgia,0,Tarik Skubal,42409.0,2.21,Paul Skenes,4719507.0,1.97,10.0,0.0,7.0,8.0,2.0,6.0,,,,,,1,,83.8,4.9,3.0,0,6,6,10.0,6.0,6.0,,6.0,6.0,,0.0,0.0,,10.0,10.0,,0.5,0.5,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0.5,,0.5,,2.0,2.9801324503311255,0.8940397350993377,12.516556291390728,6.040000000000001,1.0,0.5,,,,,0.5,,,,,2.88,1.2,12.24,5.0,0,0.0,0.0,-0.24,-0.10013245033112561,0.0,0.0,0.0,0.0,0
2025-03-27,02:10,2025,Arizona Diamondbacks,ARI,Chicago Cubs,CHC,Home,1,6,10,,,,Chase Field,Phoenix,Arizona,1,Zac Gallen,39910.0,4.83,Justin Steele,41022.0,4.76,9.0,1.0,6.0,12.0,0.0,10.0,4.0,4.0,4.0,4.0,4.0,0,4.49,72.0,0.0,3.0,-4,6,10,9.0,6.0,6.0,,10.0,10.0,,-4.0,-4.0,,9.0,9.0,,0.2819497090251592,0.5,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0.5,,0.5,,2.0,,,,,1.06,0.5,,,,,0.5,,,,3.79,,,,,0,0.0,0.0,-0.07000000000000028,0.0,0.0,0.0,0.0,-0.7000000000000002,0
2025-03-28,01:40,2025,Arizona Diamondbacks,ARI,Chicago Cubs,CHC,Home,1,8,1,,,,Chase Field,Phoenix,Arizona,1,Merrill Kelly,32968.0,3.52,Jameson Taillon,31258.0,3.68,14.0,3.0,8.0,3.0,0.0,1.0,5.1,1.0,3.0,4.0,1.0,0,4.49,72.0,0.0,1.0,7,8,1,14.0,7.0,7.0,,5.5,5.5,,1.5,1.5,,11.5,11.5,,0.6085750789520938,0.5,6.0,6.0,,10.0,10.0,,-4.0,-4.0,,9.0,9.0,,0.2819497090251592,0.5,1,0.0,1,1,0.5,0.0,,0.5,,2.0,,,,,1.06,1.0,,,10.0,6.0,0.5,10.0,6.0,0.7180502909748407,3.79,,,,,0,0.0,0.0,0.16000000000000014,0.0,-0.43610058194968154,-4.0,-4.0,-0.7000000000000002,1
2025-03-29,00:10,2025,Arizona Diamondbacks,ARI,Chicago Cubs,CHC,Home,1,3,4,,,,Chase Field,Phoenix,Arizona,1,Brandon Pfaadt,4721302.0,5.25,Shota Imanaga,5134630.0,3.73,9.0,2.0,3.0,8.0,1.0,4.0,6.0,3.0,6.0,1.0,5.0,0,4.49,72.0,0.0,1.0,-1,3,4,9.0,5.666666666666667,5.666666666666667,5.666666666666667,5.0,5.0,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,10.666666666666666,10.666666666666666,10.666666666666666,0.5570130979287675,0.5570130979287675,7.0,7.0,,5.5,5.5,,1.5,1.5,,11.5,11.5,,0.6085750789520938,0.5,2,1.0,0,1,0.3333333333333333,0.5,0.3333333333333333,0.5,2.5166114784235836,2.0,,,,,1.06,0.5,,,5.5,7.0,0.5,5.5,7.0,0.3914249210479062,3.79,,,,,1,0.0,0.0,-1.52,0.0,0.21715015790418762,1.5,1.5,-0.7000000000000002,0
2025-03-30,20:10,2025,Arizona Diamondbacks,ARI,Chicago Cubs,CHC,Home,1,10,6,,,,Chase Field,Phoenix,Arizona,1,Eduardo Rodriguez,32675.0,5.02,Matthew Boyd,34401.0,3.21,14.0,0.0,10.0,9.0,0.0,6.0,,,,,,0,4.49,72.0,0.0,1.0,4,10,6,14.0,6.75,6.75,6.75,5.25,5.25,5.25,1.5,1.5,1.5,11.5,11.5,11.5,0.612991735040507,0.612991735040507,5.666666666666667,5.666666666666667,5.666666666666667,5.0,5.0,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,10.666666666666666,10.666666666666666,10.666666666666666,0.5570130979287675,0.5570130979287675,3,2.0,1,2,0.5,0.3333333333333333,0.5,0.3333333333333333,2.9860788111948193,2.5166114784235836,,,,,1.06,0.6666666666666666,5.0,5.666666666666667,5.0,5.666666666666667,0.6666666666666666,5.0,5.666666666666667,0.4429869020712325,3.79,,,,,1,0.666666666666667,0.666666666666667,-1.8099999999999996,0.0,0.11402619585753504,0.666666666666667,0.666666666666667,-0.7000000000000002,1
2025-04-01,23:05,2025,Arizona Diamondbacks,ARI,New York Yankees,NYY,Away,0,7,5,,,,Yankee Stadium,Bronx,New York,0,Corbin Burnes,39878.0,2.66,Will Warren,5132011.0,4.44,5.0,1.0,7.0,5.0,0.0,5.0,4.1,2.0,4.0,3.0,8.0,0,4.49,48.1,5.8,2.0,2,7,5,5.0,6.8,6.8,6.8,5.2,5.2,5.2,1.6,1.6,1.6,10.2,10.2,10.2,0.6203238659233887,0.6203238659233887,6.75,6.75,6.75,5.25,5.25,5.25,1.5,1.5,1.5,11.5,11.5,11.5,0.612991735040507,0.612991735040507,4,3.0,1,3,0.6,0.5,0.6,0.5,2.588435821108957,2.9860788111948193,,,,,1.07,1.0,12.0,4.666666666666667,12.0,4.666666666666667,1.0,12.0,4.666666666666667,0.849203133575968,3.91,,,,,0,-5.25,-0.583333333333333,1.7800000000000002,0.0,-0.23621139853546103,-5.25,-0.583333333333333,-0.5800000000000001,1
2025-04-02,23:05,2025,Arizona Diamondbacks,ARI,New York Yankees,NYY,Away,0,4,3,,,,Yankee Stadium,Bronx,New York,0,Zac Gallen,39910.0,4.83,Carlos Rodon,33696.0,3.09,3.0,0.0,4.0,6.0,0.0,3.0,6.2,0.0,3.0,0.0,13.0,0,4.49,42.0,8.6,1.0,1,4,3,3.0,6.333333333333333,6.4,6.333333333333333,4.833333333333333,3.8,4.833333333333333,1.5,2.6,1.5,9.0,9.0,9.0,0.621196840588549,0.621196840588549,6.8,6.8,6.8,5.2,5.2,5.2,1.6,1.6,1.6,10.2,10.2,10.2,0.6203238659233887,0.6203238659233887,5,4.0,1,4,0.6666666666666666,0.6,0.6666666666666666,0.6,2.581988897471611,2.588435821108957,9.0,2.0,9.0,4.0,1.07,0.75,10.25,5.25,10.25,5.25,0.75,10.25,5.25,0.7728300623057464,3.91,1.7647058823529413,1.1764705882352942,12.352941176470589,5.1,0,-3.45,0.04999999999999982,-1.7400000000000002,-7.235294117647059,-0.15250619638235763,-3.45,0.04999999999999982,-0.5800000000000001,1
2025-04-03,23:05,2025,Arizona Diamondbacks,ARI,New York Yankees,NYY,Away,0,7,9,,,,Yankee Stadium,Bronx,New York,0,Merrill Kelly,32968.0,3.52,Carlos Carrasco,28968.0,7.09,8.0,0.0,7.0,12.0,0.0,9.0,3.2,9.0,9.0,3.0,2.0,0,4.49,71.1,11.5,1.0,-2,7,9,8.0,6.428571428571429,6.2,6.428571428571429,5.428571428571429,5.4,5.428571428571429,1.0,0.8,1.0,8.857142857142858,7.8,8.857142857142858,0.576741165151998,0.576741165151998,6.333333333333333,6.4,6.333333333333333,4.833333333333333,3.8,4.833333333333333,1.5,2.6,1.5,9.0,9.0,9.0,0.621196840588549,0.621196840588549,6,5.0,0,4,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,2.370453040886408,2.581988897471611,1.7647058823529413,1.3725490196078431,1.7647058823529413,5.1,1.07,0.6,8.8,5.0,8.8,5.0,0.6,8.8,5.0,0.7377920793995438,3.91,,,,,0,-2.4666666666666677,0.16666666666666696,3.57,2.735294117647059,-0.11659523881099487,-2.4000000000000004,1.2000000000000002,-0.5800000000000001,0
2025-04-04,22:45,2025,Arizona Diamondbacks,ARI,Washington Nationals,WSH,Away,0,6,4,,,,Nationals Park,Washington,District of Columbia,0,Brandon Pfaadt,4721302.0,5.25,Jake Irvin,41290.0,5.7,11.0,0.0,6.0,8.0,1.0,4.0,6.0,4.0,6.0,0.0,4.0,0,4.49,69.0,4.9,1.0,2,6,4,11.0,6.375,6.8,6.375,5.25,5.4,5.25,1.125,1.4,1.125,9.125,8.2,9.125,0.5879035564175087,0.5879035564175087,6.428571428571429,6.2,6.428571428571429,5.428571428571429,5.4,5.428571428571429,1.0,0.8,1.0,8.857142857142858,7.8,8.857142857142858,0.576741165151998,0.576741165151998,7,6.0,1,5,0.625,0.5714285714285714,0.625,0.5714285714285714,2.1998376563477846,2.370453040886408,4.5,1.1666666666666667,7.5,6.0,1.01,0.16666666666666666,3.5,5.5,3.5,5.5,0.16666666666666666,3.6,5.2,0.30425167061518005,5.35,3.6,1.8,3.6,5.0,0,2.928571428571429,0.07142857142857117,0.4500000000000002,-0.8999999999999999,0.272489494536818,2.6,-0.20000000000000018,0.8599999999999994,1
2025-04-05,20:05,2025,Arizona Diamondbacks,ARI,Washington Nationals,WSH,Away,0,3,4,,,,Nationals Park,Washington,District of Columbia,0,Eduardo Rodriguez,32675.0,5.02,Mitchell Parker,4683356.0,5.68,5.0,0.0,3.0,6.0,1.0,4.0,,,,,,0,4.49,78.1,7.5,1.0,-1,3,4,5.0,6.0,5.4,6.0,5.111111111111111,5.0,5.111111111111111,0.8888888888888888,0.4,0.8888888888888888,8.666666666666666,6.4,8.666666666666666,0.5728349236445199,0.5728349236445199,6.375,6.8,6.375,5.25,5.4,5.25,1.125,1.4,1.125,9.125,8.2,9.125,0.5879035564175087,0.5879035564175087,8,7.0,0,5,0.5555555555555556,0.625,0.5555555555555556,0.625,2.3452078799117144,2.1998376563477846,,,,,1.01,0.14285714285714285,3.5714285714285716,5.571428571428571,3.5714285714285716,5.571428571428571,0.14285714285714285,3.2,4.2,0.30708663873708736,5.35,0.0,1.4754098360655739,7.3770491803278695,6.1,0,2.8035714285714284,0.3214285714285712,0.6600000000000001,-4.5,0.28081691768042133,3.5999999999999996,-1.2000000000000002,0.8599999999999994,0
