snapshot_date,season,team,conf,games,record,adj_oe,adj_de,barthag,adj_tempo,efg_off,efg_def,tor_off,tor_def,orb_off,drb_def,ftr_off,ftr_def,wab,source_url
2025-11-04,2026,Air Force,MWC,1,0–10–0,99.9172,102.7125,0.4217142,65.0237,59.637,52.7153,34.5256,12.0222,34.896,25.878,19.1229,45.5173,-0.5193,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Akron,MAC,1,1–00–0,108.2109,105.2143,0.5804114,73.591,49.2142,48.4104,11.127,26.428,38.558,31.6131,46.078,21.335,0.0642,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Alabama,SEC,1,1–00–0,113.27,88.433,0.944531,74.083,60.332,42.755,20.3175,13.5204,36.775,16.717,46.675,27.466,0.0471,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Albany,AE,1,0–10–0,79.9245,96.669,0.1017217,74.672,32.1251,45.779,30.0247,18.3119,38.857,38.5196,20.9224,67.224,-0.5189,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Alcorn St.,SWAC,1,0–10–0,109.894,125.5239,0.1770199,72.4114,58.842,65.0245,27.724,10.5232,29.015,36.8183,52.957,35.7128,-0.39168,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,American,Pat,1,0–10–0,102.415,106.5153,0.3884147,74.575,50.0126,53.1157,23.8208,14.6191,25.718,33.3144,31.0168,36.9137,-0.47184,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Appalachian St.,SB,1,0–10–0,97.7185,129.1248,0.038924,65.3235,44.119,58.6208,13.956,18.5116,36.281,44.8231,49.268,29.38,-0.9236,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Arizona,B12,1,1–00–0,133.54,93.052,0.98459,77.936,50.812,47.998,17.1113,18.4117,35.391,37.0184,62.326,42.9163,0.91,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Arizona St.,B12,1,1–00–0,104.4135,91.038,0.827767,69.6171,56.868,40.039,19.3159,22.063,31.4127,36.4177,33.9139,11.45,0.0469,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
2025-11-04,2026,Arkansas,SEC,1,1–00–0,127.018,100.6104,0.936134,77.738,57.561,47.897,11.127,14.8189,35.984,27.996,39.7108,34.8122,0.056,https://barttorvik.com/trank.php?year=2026&begin=20251101&end=20251104&top=0&conlimit=All&state=All
