team,torvik_team,match_source,match_score,needs_review
Abilene Christian,Abilene Christian,normalized_exact,1.0,False
Abilene Christian Wildcats,Abilene Christian,alias_exact,1.0,False
Air Force,Air Force,normalized_exact,1.0,False
Air Force Falcons,Air Force,alias_exact,1.0,False
Akron,Akron,normalized_exact,1.0,False
Akron Zips,Akron,alias_exact,1.0,False
Alabama,Alabama,normalized_exact,1.0,False
Alabama A&M,Alabama A&M,normalized_exact,1.0,False
Alabama A&M Bulldogs,Alabama A&M,alias_exact,1.0,False
Alabama Crimson Tide,Alabama,alias_exact,1.0,False
Alabama St.,Alabama St.,normalized_exact,1.0,False
Alabama State Hornets,Alabama St.,alias_exact,1.0,False
Albany,Albany,normalized_exact,1.0,False
Alcorn St.,Alcorn St.,normalized_exact,1.0,False
Alcorn State Braves,Alcorn St.,alias_exact,1.0,False
American,American,normalized_exact,1.0,False
American University Eagles,American,alias_exact,1.0,False
App State Mountaineers,Appalachian St.,alias_exact,1.0,False
Appalachian St.,Appalachian St.,normalized_exact,1.0,False
Arizona,Arizona,normalized_exact,1.0,False
Arizona St.,Arizona St.,normalized_exact,1.0,False
Arizona State Sun Devils,Arizona St.,alias_exact,1.0,False
Arizona Wildcats,Arizona,alias_exact,1.0,False
Arkansas,Arkansas,normalized_exact,1.0,False
Arkansas Pine Bluff,Arkansas Pine Bluff,normalized_exact,1.0,False
Arkansas Razorbacks,Arkansas,alias_exact,1.0,False
Arkansas St.,Arkansas St.,normalized_exact,1.0,False
Arkansas State Red Wolves,Arkansas St.,alias_exact,1.0,False
Arkansas-Pine Bluff Golden Lions,Arkansas Pine Bluff,alias_exact,1.0,False
Army,Army,normalized_exact,1.0,False
Army Black Knights,Army,alias_exact,1.0,False
Auburn,Auburn,normalized_exact,1.0,False
Auburn Tigers,Auburn,alias_exact,1.0,False
Austin Peay,Austin Peay,normalized_exact,1.0,False
Austin Peay Governors,Austin Peay,alias_exact,1.0,False
BYU,BYU,normalized_exact,1.0,False
BYU Cougars,BYU,alias_exact,1.0,False
Ball St.,Ball St.,normalized_exact,1.0,False
Ball State Cardinals,Ball St.,alias_exact,1.0,False
Baylor,Baylor,normalized_exact,1.0,False
Baylor Bears,Baylor,alias_exact,1.0,False
Bellarmine,Bellarmine,normalized_exact,1.0,False
Bellarmine Knights,Bellarmine,alias_exact,1.0,False
Belmont,Belmont,normalized_exact,1.0,False
Belmont Bruins,Belmont,alias_exact,1.0,False
Bethesda University Flames,,unmatched,0.0,True
Bethune Cookman,Bethune Cookman,normalized_exact,1.0,False
Bethune-Cookman Wildcats,Bethune Cookman,alias_exact,1.0,False
Binghamton,Binghamton,normalized_exact,1.0,False
Binghamton Bearcats,Binghamton,alias_exact,1.0,False
Blackburn Beavers,,unmatched,0.0,True
Boise St.,Boise St.,normalized_exact,1.0,False
Boise State Broncos,Boise St.,alias_exact,1.0,False
Boston College,Boston College,normalized_exact,1.0,False
Boston College Eagles,Boston College,normalized_exact,1.0,False
Boston University,Boston University,normalized_exact,1.0,False
