team,hasla_team,match_source,match_score,needs_review
Abilene Christian,Abil. Christian,normalized_exact,1.0,False
Abilene Christian Wildcats,Abil. Christian,alias_exact,1.0,False
Air Force,Air Force,normalized_exact,1.0,False
Air Force Falcons,Air Force,alias_exact,1.0,False
Akron,Akron,normalized_exact,1.0,False
Akron Zips,Akron,alias_exact,1.0,False
Alabama,Alabama,normalized_exact,1.0,False
Alabama A&M,Alabama A&M,normalized_exact,1.0,False
Alabama A&M Bulldogs,Alabama A&M,alias_exact,1.0,False
Alabama Crimson Tide,Alabama,alias_exact,1.0,False
Alabama St.,Alabama State,normalized_exact,1.0,False
Alabama State Hornets,Alabama State,alias_exact,1.0,False
Albany,Albany,normalized_exact,1.0,False
Alcorn St.,Alcorn State,normalized_exact,1.0,False
Alcorn State Braves,Alcorn State,alias_exact,1.0,False
American,American,normalized_exact,1.0,False
American University Eagles,American,alias_exact,1.0,False
App State Mountaineers,Appalachian St.,alias_exact,1.0,False
Appalachian St.,Appalachian St.,normalized_exact,1.0,False
Arizona,Arizona,normalized_exact,1.0,False
Arizona St.,Arizona State,normalized_exact,1.0,False
Arizona State Sun Devils,Arizona State,alias_exact,1.0,False
Arizona Wildcats,Arizona,alias_exact,1.0,False
Arkansas,Arkansas,normalized_exact,1.0,False
Arkansas Pine Bluff,AR-Pine Bluff,normalized_exact,1.0,False
Arkansas Razorbacks,Arkansas,alias_exact,1.0,False
Arkansas St.,Arkansas State,normalized_exact,1.0,False
Arkansas State Red Wolves,Arkansas State,alias_exact,1.0,False
Arkansas-Pine Bluff Golden Lions,AR-Pine Bluff,alias_exact,1.0,False
Army,Army,normalized_exact,1.0,False
Army Black Knights,Army,alias_exact,1.0,False
Auburn,Auburn,normalized_exact,1.0,False
Auburn Tigers,Auburn,alias_exact,1.0,False
Austin Peay,Austin Peay,normalized_exact,1.0,False
Austin Peay Governors,Austin Peay,alias_exact,1.0,False
BYU,BYU,normalized_exact,1.0,False
BYU Cougars,BYU,alias_exact,1.0,False
Ball St.,Ball State,normalized_exact,1.0,False
Ball State Cardinals,Ball State,alias_exact,1.0,False
Baylor,Baylor,normalized_exact,1.0,False
Baylor Bears,Baylor,alias_exact,1.0,False
Bellarmine,Bellarmine,normalized_exact,1.0,False
Bellarmine Knights,Bellarmine,alias_exact,1.0,False
Belmont,Belmont,normalized_exact,1.0,False
Belmont Bruins,Belmont,alias_exact,1.0,False
Bethesda University Flames,,unmatched,0.0,True
Bethune Cookman,Bethune-Cookman,normalized_exact,1.0,False
Bethune-Cookman Wildcats,Bethune-Cookman,alias_exact,1.0,False
Binghamton,Binghamton,normalized_exact,1.0,False
Binghamton Bearcats,Binghamton,alias_exact,1.0,False
Blackburn Beavers,,unmatched,0.0,True
Boise St.,Boise State,normalized_exact,1.0,False
Boise State Broncos,Boise State,alias_exact,1.0,False
Boston College,Boston College,normalized_exact,1.0,False
Boston College Eagles,Boston College,alias_exact,1.0,False
Boston University,Boston U,normalized_exact,1.0,False
Boston University Terriers,Boston U,alias_exact,1.0,False
Bowling Green,Bowling Green,normalized_exact,1.0,False
Bowling Green Falcons,Bowling Green,alias_exact,1.0,False
Bradley,Bradley,normalized_exact,1.0,False
Bradley Braves,Bradley,alias_exact,1.0,False
Brown,Brown,normalized_exact,1.0,False
Brown Bears,Brown,alias_exact,1.0,False
Bryant,Bryant,normalized_exact,1.0,False
Bryant & Stratton (Ohio) Bobcats,,unmatched,0.0,True
Bryant Bulldogs,Bryant,alias_exact,1.0,False
Bucknell,Bucknell,normalized_exact,1.0,False
Bucknell Bison,Bucknell,alias_exact,1.0,False
Buffalo,Buffalo,normalized_exact,1.0,False
Buffalo Bulls,Buffalo,alias_exact,1.0,False
Butler,Butler,normalized_exact,1.0,False
Butler Bulldogs,Butler,alias_exact,1.0,False
Cal Baptist,Cal Baptist,normalized_exact,1.0,False
Cal Poly,Cal Poly,normalized_exact,1.0,False
Cal Poly Mustangs,Cal Poly,alias_exact,1.0,False
Cal St. Bakersfield,CSU Bakersfield,normalized_exact,1.0,False
Cal St. Fullerton,CSU Fullerton,normalized_exact,1.0,False
Cal St. Northridge,CSU Northridge,normalized_exact,1.0,False
Cal State Bakersfield Roadrunners,CSU Bakersfield,alias_exact,1.0,False
Cal State Fullerton Titans,CSU Fullerton,alias_exact,1.0,False
Cal State Northridge Matadors,CSU Northridge,alias_exact,1.0,False
California,California,normalized_exact,1.0,False
California Baptist Lancers,California,alias_exact,1.0,False
California Golden Bears,California,alias_exact,1.0,False
Campbell,Campbell,normalized_exact,1.0,False
Campbell Fighting Camels,Campbell,alias_exact,1.0,False
Canisius,Canisius,normalized_exact,1.0,False
Canisius Golden Griffins,Canisius,alias_exact,1.0,False
Central Arkansas,Cent. Arkansas,normalized_exact,1.0,False
Central Arkansas Bears,Cent. Arkansas,alias_exact,1.0,False
Central Connecticut,Cent. Conn. St.,normalized_exact,1.0,False
Central Connecticut Blue Devils,Cent. Conn. St.,alias_exact,1.0,False
Central Michigan,Cent. Michigan,normalized_exact,1.0,False
Central Michigan Chippewas,Cent. Michigan,alias_exact,1.0,False
Charleston,Charleston,normalized_exact,1.0,False
Charleston Cougars,Charleston,alias_exact,1.0,False
Charleston Southern,Charleston,alias_exact,1.0,False
Charleston Southern Buccaneers,Charleston,alias_exact,1.0,False
Charlotte,Charlotte,normalized_exact,1.0,False
Charlotte 49ers,Charlotte,alias_exact,1.0,False
Chattanooga,Chattanooga,normalized_exact,1.0,False
Chattanooga Mocs,Chattanooga,alias_exact,1.0,False
Chicago St.,Chicago State,normalized_exact,1.0,False
Chicago State Cougars,Chicago State,alias_exact,1.0,False
Cincinnati,Cincinnati,normalized_exact,1.0,False
Cincinnati Bearcats,Cincinnati,alias_exact,1.0,False
Clemson,Clemson,normalized_exact,1.0,False
Clemson Tigers,Clemson,alias_exact,1.0,False
Cleveland St.,Cleveland State,normalized_exact,1.0,False
Cleveland State Vikings,Cleveland State,alias_exact,1.0,False
Coastal Carolina,Coast. Carolina,fuzzy,0.9333,False
Coastal Carolina Chanticleers,Coast. Carolina,alias_fuzzy,0.9333,False
Colgate,Colgate,normalized_exact,1.0,False
Colgate Raiders,Colgate,alias_exact,1.0,False
Colorado,Colorado,normalized_exact,1.0,False
Colorado Buffaloes,Colorado,alias_exact,1.0,False
Colorado St.,Colorado State,normalized_exact,1.0,False
Colorado State Rams,Colorado State,alias_exact,1.0,False
Columbia,Columbia,normalized_exact,1.0,False
Columbia Lions,Columbia,alias_exact,1.0,False
Connecticut,UConn,normalized_exact,1.0,False
Coppin St.,Coppin State,normalized_exact,1.0,False
Coppin State Eagles,Coppin State,alias_exact,1.0,False
Cornell,Cornell,normalized_exact,1.0,False
Cornell Big Red,Cornell,alias_exact,1.0,False
Creighton,Creighton,normalized_exact,1.0,False
