timestamp_utc	commit	opt_brier	opt_log_loss	opt_roi	opt_high_conf_acc	opt_n_hc	opt_n_games	mon25_brier	mon25_roi	mon25_n_hc	mon26_brier	mon26_roi	mon26_n_hc	status	change_type	description	config_path	archive_dir
20260415T191411Z	d07e6f1	0.255299	0.720677	54.55	0.5597	795	1403	0.239674	87.91	481	0.187091	38.45	78	baseline	baseline	Production MLB setup (28 features, calibrated GBM)	/Users/matthewpokorny/Desktop/projects/cbb-quant-model/.claude/worktrees/twitter-idea-testing/mlb_research/experiments/20260415T191411Z_d07e6f1/config.json	mlb_research/experiments/20260415T191411Z_d07e6f1
20260416T164755Z	db740cd	0.255191	0.722209	32.18	0.5442	825	1403	0.240081	80.73	471	0.187222	45.18	77	reverted	features	Add park_factor	mlb_research/experiments/20260416T164755Z_db740cd/config.json	mlb_research/experiments/20260416T164755Z_db740cd
20260416T165004Z	db740cd	0.251468	0.702530	51.82	0.5581	792	1403	0.237936	118.18	466	0.176990	44.27	76	reverted	hyperparams	max_depth 4->3	mlb_research/experiments/20260416T165004Z_db740cd/config.json	mlb_research/experiments/20260416T165004Z_db740cd
20260416T165039Z	db740cd	0.248843	0.693961	73.91	0.5742	768	1403	0.235809	128.27	454	0.173675	40.36	78	reverted	hyperparams	max_depth=2	mlb_research/experiments/20260416T165039Z_db740cd/config.json	mlb_research/experiments/20260416T165039Z_db740cd
20260416T165107Z	db740cd	0.245639	0.684709	104.82	0.5981	739	1403	0.237883	117.27	465	0.185339	39.55	75	reverted	hyperparams	max_depth=1 stumps	mlb_research/experiments/20260416T165107Z_db740cd/config.json	mlb_research/experiments/20260416T165107Z_db740cd
20260416T165135Z	db740cd	0.253271	0.711809	60.64	0.5631	808	1403	0.239739	93.00	474	0.177825	40.27	80	reverted	hyperparams	learning_rate=0.03	mlb_research/experiments/20260416T165135Z_db740cd/config.json	mlb_research/experiments/20260416T165135Z_db740cd
20260416T165227Z	db740cd	0.252246	0.703691	48.91	0.5599	709	1403	0.239491	103.00	443	0.185521	41.18	81	reverted	hyperparams	n_estimators=50	mlb_research/experiments/20260416T165227Z_db740cd/config.json	mlb_research/experiments/20260416T165227Z_db740cd
20260416T165255Z	db740cd	0.253676	0.717436	74.45	0.5702	840	1403	0.237677	98.82	472	0.193676	32.73	78	reverted	hyperparams	calibration_fraction=0.3	mlb_research/experiments/20260416T165255Z_db740cd/config.json	mlb_research/experiments/20260416T165255Z_db740cd
20260416T165410Z	db740cd	0.256354	0.721827	12.73	0.5330	728	1359	0.238619	99.73	452	0.184265	34.73	76	reverted	features	Add 5 opp raw features	mlb_research/experiments/20260416T165410Z_db740cd/config.json	mlb_research/experiments/20260416T165410Z_db740cd
20260416T165530Z	db740cd	0.255987	0.737863	52.73	0.5586	793	1403	0.243324	70.64	504	0.200004	41.45	75	reverted	hyperparams	learning_rate=0.1	mlb_research/experiments/20260416T165530Z_db740cd/config.json	mlb_research/experiments/20260416T165530Z_db740cd
