snapshot_date,team,net_rank,prev_rank,record,conf,quad1,quad2,quad3,quad4,source_url
2026-03-12,A&M-Corpus Christi,340,340,5-23,Southland,0-1,0-1,0-3,5-18,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Abilene Christian,107,107,19-9,WAC,0-1,0-0,2-0,17-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Air Force,215,214,15-18,Mountain West,0-0,0-2,1-9,14-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Akron,291,291,5-24,MAC,0-2,0-2,0-4,5-16,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Alabama,27,27,23-10,SEC,5-8,4-1,4-1,10-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Alabama A&M,205,205,19-9,SWAC,0-3,0-1,0-1,19-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Alabama St.,296,299,14-13,SWAC,0-5,0-0,0-1,14-7,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Alcorn,307,307,14-13,SWAC,0-3,0-1,0-1,14-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,American,319,319,7-23,Patriot,0-1,0-0,0-2,7-20,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,App State,193,192,9-19,Sun Belt,0-3,0-3,0-3,9-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Arizona,119,120,12-18,Big 12,0-5,1-8,2-2,9-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Arizona St.,51,51,24-10,Big 12,1-6,6-2,5-2,12-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Ark.-Pine Bluff,323,323,14-15,SWAC,0-1,0-1,0-2,14-11,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Arkansas,105,105,12-20,SEC,0-11,0-4,3-3,9-2,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Arkansas St.,92,92,23-9,Sun Belt,0-0,1-2,1-6,21-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Army West Point,124,115,23-7,Patriot,0-1,0-0,0-2,23-4,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Auburn,87,88,15-17,SEC,0-12,4-4,1-1,10-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Austin Peay,155,157,17-13,ASUN,0-1,0-0,0-2,17-10,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,BYU,56,56,22-11,Big 12,0-5,8-4,2-1,12-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Ball St.,66,67,25-6,MAC,0-2,0-2,3-1,22-1,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Baylor,32,32,24-8,Big 12,3-6,6-2,4-0,11-0,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Bellarmine,362,362,1-30,ASUN,0-4,0-0,0-4,1-22,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Belmont,101,101,20-11,MVC,0-5,0-1,1-2,19-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Bethune-Cookman,345,345,5-25,SWAC,0-2,0-2,0-0,5-21,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Binghamton,177,178,17-12,America East,0-2,0-1,1-1,16-8,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Boise St.,122,122,24-9,Mountain West,0-0,0-3,1-3,23-3,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Boston College,245,245,5-26,ACC,0-8,0-6,0-6,5-6,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Boston U.,285,285,10-20,Patriot,0-1,0-0,0-4,10-15,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
2026-03-12,Bowling Green,188,187,13-14,MAC,0-1,0-2,0-6,13-5,https://www.ncaa.com/rankings/basketball-women/d1/ncaa-womens-basketball-net-rankings
