team,net_team,match_source,match_score,needs_review
Abilene Christian Wildcats,Abilene Christian,alias_exact,1.0,False
Agnes Scott College Scotties,,unmatched,0.0,True
Air Force Falcons,Air Force,alias_exact,1.0,False
Akron Zips,Akron,alias_exact,1.0,False
Alabama A&M Bulldogs,Alabama A&M,alias_exact,1.0,False
Alabama Crimson Tide,Alabama,alias_exact,1.0,False
Alabama State Lady Hornets,Alabama St.,alias_exact,1.0,False
Alaska Anchorage Seawolves,,unmatched,0.0,True
Albany St (GA) Golden Rams,,unmatched,0.0,True
Alcorn State Lady Braves,Alcorn,alias_exact,1.0,False
Allen University Yellow Jackets,,unmatched,0.0,True
American University Eagles,,unmatched,0.0,True
Anderson (IN) Ravens,,unmatched,0.0,True
App State Mountaineers,App State,alias_exact,1.0,False
Apprentice School Builders,,unmatched,0.0,True
Aquinas Saints,,unmatched,0.0,True
Arcadia University Knights,,unmatched,0.0,True
Arizona State Sun Devils,Arizona St.,alias_exact,1.0,False
Arizona Wildcats,Arizona,alias_exact,1.0,False
Arkansas Baptist Buffaloes,,unmatched,0.0,True
Arkansas Razorbacks,Arkansas,alias_exact,1.0,False
Arkansas State Red Wolves,Arkansas St.,alias_exact,1.0,False
Arkansas-Pine Bluff Golden Lions,Ark.-Pine Bluff,normalized_exact,1.0,False
Arlington Baptist Patriots,,unmatched,0.0,True
Army Black Knights,Army West Point,normalized_exact,1.0,False
Auburn Tigers,Auburn,alias_exact,1.0,False
Auburn-Montgomery Senators,,unmatched,0.0,True
Austin Peay Governors,Austin Peay,alias_exact,1.0,False
Ave Maria Gyrenes,,unmatched,0.0,True
Averett Cougars,,unmatched,0.0,True
BYU Cougars,BYU,alias_exact,1.0,False
Ball State Cardinals,Ball St.,alias_exact,1.0,False
Bard Eagles,,unmatched,0.0,True
Barton Bulldogs,,unmatched,0.0,True
Baylor Bears,Baylor,alias_exact,1.0,False
Bellarmine Knights,Bellarmine,alias_exact,1.0,False
Belmont Bruins,Belmont,alias_exact,1.0,False
Benedictine (AZ) Redhawks,,unmatched,0.0,True
Berkeley Knights,,unmatched,0.0,True
Berry Vikings,,unmatched,0.0,True
Bethany (KS) BETHANY (KS),,unmatched,0.0,True
Bethesda University Flames,,unmatched,0.0,True
Bethune-Cookman Wildcats,Bethune-Cookman,alias_exact,1.0,False
Binghamton Bearcats,Binghamton,alias_exact,1.0,False
Bismarck State Mystics,,unmatched,0.0,True
Bloomfield Deacons,,unmatched,0.0,True
Bloomsburg Huskies,,unmatched,0.0,True
Blue Mountain College Toppers,,unmatched,0.0,True
Bluefield University Ramblin' Rams,,unmatched,0.0,True
Bob Jones Bruins,,unmatched,0.0,True
Boise State Broncos,Boise St.,alias_exact,1.0,False
Boston College Eagles,Boston College,alias_exact,1.0,False
Boston University Terriers,Boston U.,alias_exact,1.0,False
Bowling Green Falcons,Bowling Green,alias_exact,1.0,False
Bradley Braves,Bradley,alias_exact,1.0,False
Brevard Tornados,,unmatched,0.0,True
Brewton-Parker Wildcats,,unmatched,0.0,True
Briar Cliff Chargers,,unmatched,0.0,True
Brown Bears,Brown,alias_exact,1.0,False
Bryant Bulldogs,Bryant,alias_exact,1.0,False
Bucknell Bison,Bucknell,alias_exact,1.0,False
Buena Vista Beavers,,unmatched,0.0,True
Buffalo Bulls,Buffalo,alias_exact,1.0,False
